EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;201421;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio LMN Bicentenario.;No Aplica;Privado;No Aplica;04101;La Serena;Calle;3018;Bulnes;;29-08-2019;NO;No Aplica;No Aplica;;;Privado;Cerrado;No Aplica;Atención Abierta-Ambulatoria;;23-04-2025
;201436;;;12;Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta Salud Rural Cerro Sombrero;No Aplica;Municipal;Primario;12302;Primavera;Calle;;Eduardo Simmians;954052874;26-09-2023;NO;No Aplica;No Aplica;;;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;10-10-2023;03-12-2024
;201455;;;05;Valparaíso;07;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud;Establecimiento de Salud;Centro de Salud Municipal La Cruz;No Aplica;Municipal;Primario;05504;La Cruz;Avenida;4645;Avenida 21 de mayo N°4645;962815169;11-12-2023;NO;No Aplica;No Aplica;-32.830012;-71.228553;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;29-10-2022
;201552;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Achs Victoria;No Aplica;Privado;Secundario;09211;Victoria;Calle;1130;Arturo Prat;225158658;24-05-2023;NO;No Aplica;No Aplica;-38.233781;-72.336713;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;23-05-2024;13-03-2026
;201583;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;VACUNATORIO BIOVAX TEMUCO;No Aplica;Privado;Primario;09101;Temuco;Calle;1745;Puyehue;987445670;10-03-2022;NO;No Aplica;No Aplica;-38.73728778;-72.62723857;Privado;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;22-07-2024;13-03-2026
;201617;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Sala  Externa de Toma de Muestras (SETM);Unidad de Atención;SALA EXTERNA DE TOMA DE MUESTRAS IISO;No Aplica;Privado;No Aplica;03101;Copiapó;Calle;484;COLIPÍ;52 -  2543101;18-07-2024;NO;No Aplica;No Aplica;;;Privado;Cerrado;No Aplica;Atención Abierta-Ambulatoria;02-08-2024;18-03-2025
01-214;101214;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Arica;No Aplica;Privado;Terciario;15101;Arica;Avenida;2249;Argentina;582241300;01-01-2009;NO;;;;;Privado;Cerrado;;;;25-05-2016
01-224;101224;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Santo Domingo;No Aplica;Privado;Terciario;15101;Arica;Calle;2188;Campo Verde;582247654;01-01-2009;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;23-01-2014
01-238;101238;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Mella Arica y Compañía Ltda.;No Aplica;Privado;Terciario;15101;Arica;Calle;565;Almirante Latorre;582256854;01-01-2009;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;11-08-2014
01-405;101405;;;15;Arica Parinacota;01;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Alcérreca;No Aplica;Municipal;Primario;15202;General Lagos;Calle;;Caserío de Alcérreca;;01-01-2009;NO;No Aplica;No Aplica;;;Fuerzas Armadas y de Orden;Cerrado;;;;30-10-2014
02-226;102226;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Vacumed;No Aplica;Privado;Primario;01101;Iquique;Avenida;1170;Arturo Prat;572514121;03-05-2010;NO;No Aplica;No Aplica;;;Fuerzas Armadas y de Orden;Cerrado;;;;16-04-2012
02-237;102237;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico del Norte;No Aplica;Privado;Secundario;01107;Alto Hospicio;Avenida;3154;Ramón Pérez Opazo;572434899;27-01-2005;NO;No Aplica;No Aplica;;;Fuerzas Armadas y de Orden;Cerrado;;;;21-03-2013
