Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
1;21;2026;121114;01030100;9;9111;3;0;0;0;3;0;0;0;0;0;0;2;0;0;1;3;3;0;3;0;0;3;3;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121114;01030300;9;9111;13;0;0;8;5;0;0;0;0;0;13;0;0;0;0;0;13;0;13;0;0;11;13;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121117;29101728;9;9114;7;0;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121117;29101742;9;9114;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121117;01030100;9;9114;7;0;0;5;2;0;0;0;1;7;0;0;0;0;1;4;7;1;6;1;6;7;7;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121117;01030300;9;9114;7;0;0;3;4;0;0;0;0;7;7;0;7;0;0;0;7;0;7;0;7;7;7;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121117;29101728;9;9114;3;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121117;29101742;9;9114;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121117;01030100;9;9114;3;0;0;3;0;0;0;0;0;3;0;0;0;0;1;1;3;0;3;0;3;3;3;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121117;01030300;9;9114;8;0;0;7;1;0;0;0;0;8;8;0;6;0;0;0;0;0;8;0;8;8;8;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121117;29101728;9;9114;6;0;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;21;2026;121117;29101742;9;9114;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;21;2026;121117;01030100;9;9114;6;0;0;4;2;0;0;0;0;6;0;1;1;0;3;2;6;1;5;1;5;6;6;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121117;01030300;9;9114;3;0;0;1;2;0;0;0;0;3;3;0;3;0;0;0;3;0;3;0;3;3;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121117;29101728;9;9114;4;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121117;29101742;9;9114;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121117;01030100;9;9114;4;0;0;4;0;0;0;0;0;4;0;0;0;0;2;4;4;0;4;0;4;4;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121117;01030300;9;9114;4;0;0;4;0;0;0;0;0;4;4;0;4;0;0;0;4;0;4;0;4;4;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121117;29101728;9;9114;4;0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121117;29101742;9;9114;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121117;01030100;9;9114;4;0;1;3;0;0;0;0;0;4;0;0;0;0;4;4;4;0;4;0;4;4;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121117;01030300;9;9114;3;0;0;3;0;0;0;0;0;3;3;0;3;0;0;0;3;0;3;0;3;3;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121117;29101728;9;9114;3;0;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121117;29101742;9;9114;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121117;01030100;9;9114;3;0;0;3;0;0;0;0;1;3;0;1;0;0;1;1;3;0;3;0;3;3;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121117;01030300;9;9114;5;0;0;5;0;0;0;0;0;5;5;0;5;0;0;0;5;0;5;0;5;5;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121200;29101742;9;9115;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121200;01030300;9;9115;3;0;0;3;0;0;0;0;0;3;3;0;0;0;0;0;3;0;3;0;0;3;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121200;29101742;9;9115;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121200;01030300;9;9115;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121200;29101742;9;9115;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121200;01030300;9;9115;5;0;0;2;3;0;0;0;0;5;5;0;0;0;0;0;5;0;5;0;0;5;5;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121200;29101728;9;9115;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121200;29101742;9;9115;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121200;01030100;9;9115;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121200;01030300;9;9115;4;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;4;0;4;0;0;4;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121116;01030100;9;9116;1;;;1;;;;;;;;;;;;1;1;0;1;0;;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121116;01030100;9;9116;1;;;1;;0;0;0;0;0;0;0;0;0;;1;1;0;1;0;;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121118;29101728;9;9118;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121118;29101729;9;9118;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
